图片路径,子图,子图类型,子图数量
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_3.jpg,c,stacked spectra chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_2.jpg,a,stacked spectra chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_2.jpg,b,stacked spectra chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_2.jpg,c,stacked spectra chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/1b78016cb355e70dc8f9df6a158ffa618b7d7b3846cf68bd31bde9dd7bfc1aaf.jpg,a,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/1b78016cb355e70dc8f9df6a158ffa618b7d7b3846cf68bd31bde9dd7bfc1aaf.jpg,b,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_5.jpg,a,stacked spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_9.jpg,a,multiple line chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_9.jpg,b,multiple line chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_9.jpg,c,multiple line chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_8.jpg,a,multiple line chart,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_8.jpg,b,multiple line chart,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_8.jpg,c,multiple line chart,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_8.jpg,d,multiple line chart,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_4.jpg,a,stacked spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_4.jpg,b,stacked spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_7.jpg,a,image panel,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_7.jpg,b,image panel,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_7.jpg,c,image panel,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_7.jpg,d,image panel,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_6.jpg,a,image panel,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_6.jpg,b,image panel,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_6.jpg,c,image panel,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_6.jpg,d,image panel,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_1.jpg,a,stacked spectra chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_1.jpg,b,stacked spectra chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/30/images/figure_1.jpg,c,stacked spectra chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/37/images/figure_3.jpg,a,molecular structure diagram,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/37/images/figure_3.jpg,b,polar chart (rose chart),5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/37/images/figure_3.jpg,c,spectra chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/37/images/figure_3.jpg,d,spectra chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/37/images/figure_3.jpg,e,stacked spectra chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/37/images/figure_2.jpg,a,stacked spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/37/images/figure_1.jpg,a,multi spectra chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/37/images/figure_1.jpg,b,stacked spectra chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/37/images/figure_1.jpg,c,image panel,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/37/images/figure_1.jpg,d,molecular structure diagram,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/37/images/figure_1.jpg,e,molecular structure diagram,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_3.jpg,a,line chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_3.jpg,b,line chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_2.jpg,a,process flow diagram,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_2.jpg,b,conceptual diagram,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_5.jpg,a,multiple line chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_9.jpg,a,multiple line chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_9.jpg,b,multiple line chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_9.jpg,c,multi-axis chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_8.jpg,a,multi spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_4.jpg,a,line chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_7.jpg,a,stacked spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_6.jpg,a,multi-axis chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_1.jpg,a,apparatus diagram,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/52/images/figure_1.jpg,b,conceptual diagram,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/63/images/fig_1.jpg,a,scatter plot,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/63/images/fig_1.jpg,b,scatter plot,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/63/images/fig_1.jpg,c,scatter plot,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/63/images/fig_5.jpg,a,multi-axis chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/63/images/fig_4.jpg,a,3d scatter plot,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/63/images/fig_4.jpg,b,3d scatter plot,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/63/images/fig_3.jpg,a,spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/63/images/fig_3.jpg,b,spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/63/images/fig_2.jpg,a,spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/63/images/fig_2.jpg,b,spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/64/images/fig_1.jpg,a,molecular structure diagram,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/64/images/fig_6.jpg,a,multi spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/64/images/fig_5.jpg,a,multiple scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/64/images/fig_4.jpg,a,spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/64/images/fig_3.jpg,a,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/64/images/fig_3.jpg,b,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/64/images/fig_2.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/41/images/fig_1.jpg,a,multiple scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/41/images/fig_3.jpg,a,image panel,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/41/images/fig_2.jpg,a,multiple scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/4/images/fig_1.jpg,a,multi-axis chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/4/images/fig_7.jpg,a,multiple line chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/4/images/fig_6.jpg,a,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/4/images/fig_6.jpg,b,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/4/images/fig4.jpg,a,stacked spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/4/images/fig5.jpg,a,stacked spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/4/images/fig_8.jpg,a,multi-axis chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/4/images/fig_3.jpg,a,multi-axis chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/4/images/fig_2.jpg,a,multiple line chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig1.jpg,a,apparatus diagram,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig1.jpg,b,apparatus diagram,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_7.jpg,a,multiple scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_10.jpg,a,line chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_11.jpg,a,line chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_6.jpg,a,stacked spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_6.jpg,b,stacked spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_9.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_12.jpg,a,image panel,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_5.jpg,a,multiple scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_4.jpg,a,stacked spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_4.jpg,b,stacked spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_8.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_3.jpg,a,apparatus diagram,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_3.jpg,b,apparatus diagram,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/12/images/fig_2.jpg,a,spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_3.jpg,a,multi spectra chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_3.jpg,b,multi spectra chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_3.jpg,c,multi spectra chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_3.jpg,d,multi spectra chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_3.jpg,e,image panel,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_3.jpg,f,image panel,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_2.jpg,a,stacked spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_2.jpg,b,stacked spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_5.jpg,a,line chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_5.jpg,b,spectra chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_5.jpg,c,scatter plot,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_4.jpg,a,process flow diagram,8
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_4.jpg,b,image panel,8
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_4.jpg,c,image panel,8
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_4.jpg,d,spectra chart,8
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_4.jpg,e,image panel,8
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_4.jpg,f,image panel,8
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_4.jpg,g,image panel,8
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_4.jpg,h,image panel,8
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_6.jpg,a,stacked spectra chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_6.jpg,b,stacked spectra chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_6.jpg,c,spectra chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_6.jpg,d,spectra chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_6.jpg,e,conceptual diagram,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_1.jpg,a,scatter plot,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_1.jpg,c,scatter plot,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_1.jpg,e,multiple line chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_1.jpg,b,scatter plot,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_1.jpg,d,scatter plot,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/49/images/figure_1.jpg,f,line chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/40/images/fig_1.jpg,a,apparatus diagram,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/40/images/fig_7.jpg,a,multiple scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/40/images/fig_6.jpg,a,stacked spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/40/images/fig_6.jpg,b,spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/40/images/fig_5.jpg,a,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/40/images/fig_5.jpg,b,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/40/images/fig_4.jpg,a,stacked spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/40/images/fig_8.jpg,a,stacked spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/40/images/fig_8.jpg,b,stacked spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/40/images/fig_3.jpg,a,multi-axis chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/40/images/fig_2.jpg,a,multi-axis chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/2/images/figure_3.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/2/images/figure_2.jpg,a,line chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/2/images/figure_5.jpg,a,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/2/images/figure_5.jpg,b,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/2/images/figure_4.jpg,a,spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/2/images/figure_4.jpg,b,spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/2/images/figure_6.jpg,a,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/2/images/figure_6.jpg,b,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/2/images/figure_1.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/13/images/fig_1.jpg,a,multi-axis chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/13/images/fig_4.jpg,a,image panel,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/13/images/fig_3.jpg,a,multiple scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/13/images/fig_2.jpg,a,multi-axis chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/5/images/fig_1.jpg,a,multi spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/5/images/fig_7.jpg,a,multi-axis chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/5/images/fig_10.jpg,a,multi-axis chart,1
